EDB;Year;Asset category;Asset class;Units;Quantity end;over_age;Average age;Grade 1;Grade 2;Five-year replacement;Grade unknown (proportion);Year unknown;Over ODV life;"ODV lives
value"
Alpine Energy;2017;Distribution cables;Distribution Submarine Cable;km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Distribution cables;Distribution UG PILC;km;136,3241;0;34,47449;0;0;0;0;0,54361654;3,072693;70
Alpine Energy;2017;Distribution cables;Distribution UG XLPE or PVC;km;149,6805;1,815932;9,988282;0;0;0;0;0,53796741;3,874161;45
Alpine Energy;2017;Distribution lines;Distribution OH Aerial Cable Conductor;km;0;0;;0;0;0;0;0;;60
Alpine Energy;2017;Distribution lines;Distribution OH Open Wire Conductor;km;2900;711,98;39,49315;0;0;0;1;5,9448087;;60
Alpine Energy;2017;Distribution lines;SWER conductor;km;7,24838;0;42,00002;0;0;0;0;0;;60
Alpine Energy;2017;Distribution poles;Concrete poles / steel structure;No.;27509;3001,8;36,27318;0,04425454;0,11002594;0,04425454;0;889;2,909151;60
Alpine Energy;2017;Distribution poles;Other pole types;No.;381;52,8;39,33227;0;0;0;0;68;;60
Alpine Energy;2017;Distribution poles;Wood poles;No.;21499;6406;31,33805;0,09847269;0,08325136;0,09847269;0;1691;2,791872;45
Alpine Energy;2017;Distribution substations;Ground Mounted Substation Housing;No.;0;;;0;0;0;1;0;;
Alpine Energy;2017;Distribution switchgear;3.3/6.6/11/22kV CB (Indoor);No.;0;0;;0;0;0;1;0;;45
Alpine Energy;2017;Distribution switchgear;3.3/6.6/11/22kV CB (pole mounted) - reclosers and sectionalisers;No.;44;2;8,795455;0;0;0;1;0;;40
Alpine Energy;2017;Distribution switchgear;3.3/6.6/11/22kV RMU;No.;371;71,2;21,1282;0;0;0;1;20;;40
Alpine Energy;2017;Distribution switchgear;3.3/6.6/11/22kV Switch (ground mounted) - except RMU;No.;68;16,8;28,60606;0;0;0;1;2;;35
Alpine Energy;2017;Distribution switchgear;3.3/6.6/11/22kV Switches and fuses (pole mounted);No.;7177;2248,8;23,56704;0;0;0;1;121;;35
Alpine Energy;2017;Distribution transformers;Ground Mounted Transformer;No.;934;67,6;19,23862;0,04609475;0,0268886;0,04609475;0;33;3,46991;45
Alpine Energy;2017;Distribution transformers;Pole Mounted Transformer;No.;4971;1507,7;29,09822;0,01434426;0,03709016;0,01434426;0;13;3,393033;45
Alpine Energy;2017;Distribution transformers;Voltage regulators;No.;31;0;8,935484;0;0;0;1;0;;45
Alpine Energy;2017;LV cables;LV UG Cable;km;347,1251;0,039462;27,56857;0,10742821;0,10013295;0,10742821;0;1,098035;2,989733;70
Alpine Energy;2017;LV lines;LV OH Conductor;km;378,4005;51,80872;45,55819;0;0;0;1;12,750481;;60
Alpine Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (Gas Pressurised);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (Oil pressurised);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (PILC);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (XLPE);km;0;0;;0;0;0;0;0;;45
Alpine Energy;2017;Subtransmission cables;Subtransmission UG up to 66kV (Gas pressurised);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG up to 66kV (Oil pressurised);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG up to 66kV (PILC);km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission cables;Subtransmission UG up to 66kV (XLPE);km;40,11637;0;11,84605;0;0;0;0;0;3,90752;45
Alpine Energy;2017;Subtransmission cables;Subtransmission submarine cable;km;0;0;;0;0;0;0;0;;70
Alpine Energy;2017;Subtransmission lines;Subtransmission OH 110kV+ conductor;km;23,94482;0;3,999738;0;0;0;0;0;;60
Alpine Energy;2017;Subtransmission lines;Subtransmission OH up to 66kV conductor;km;243,5803;5,88629;28,93032;0;0;0;1;0;;60
Alpine Energy;2017;Zone substation switchgear;22/33kV CB (Indoor);No.;6;0;5;0;0;0;0;0;4;45
Alpine Energy;2017;Zone substation switchgear;22/33kV CB (Outdoor);No.;17;7,4;27,58824;0,1429;0,2857;0;0;0;2,7142;40
Alpine Energy;2017;Zone substation switchgear;3.3/6.6/11/22kV CB (ground mounted);No.;210;20,5;13,97143;0;0,063;0;0;0;3,729;35
Alpine Energy;2017;Zone substation switchgear;3.3/6.6/11/22kV CB (pole mounted);No.;0;0;;0;0;0;0;0;4;35
Alpine Energy;2017;Zone substation switchgear;33kV RMU;No.;0;0;;0;0;0;0;0;;40
Alpine Energy;2017;Zone substation switchgear;33kV Switch (Ground Mounted);No.;8;1,3;12,25;0;0;0;1;0;;35
Alpine Energy;2017;Zone substation switchgear;33kV Switch (Pole Mounted);No.;113;27,7;16,53982;0;0;0;1;0;;35
Alpine Energy;2017;Zone substation switchgear;50/66/110kV CB (Indoor);No.;0;0;;0;0;0;0;0;;35
Alpine Energy;2017;Zone substation switchgear;50/66/110kV CB (Outdoor);No.;1;0;8;0;0;0;0;0;4;40
Alpine Energy;2017;Zone substation transformers;Zone Substation Transformers;No.;27;10;29,55556;0;0,13;0;0;0;3,566;40
Aurora Energy;2017;Distribution cables;Distribution Submarine Cable;km;1;0,8;72;1;0;0;0;0;1;70
Aurora Energy;2017;Distribution cables;Distribution UG PILC;km;428;6,4;32,15421;0;0;0;0;0;3,4744;70
Aurora Energy;2017;Distribution cables;Distribution UG XLPE or PVC;km;586;1,5;11,63481;0;0,00006713;0;0;0;3,887534;45
Aurora Energy;2017;Distribution lines;Distribution OH Aerial Cable Conductor;km;0;0;;0;0;0;0;0;;60
Aurora Energy;2017;Distribution lines;Distribution OH Open Wire Conductor;km;2306;469,8;42,29531;0,5333;0,1772;0,22106632;0;0;1,7983;60
Aurora Energy;2017;Distribution lines;SWER conductor;km;9;4,8;56,44444;0;0,32273263;0;0;0;3,354535;60
Aurora Energy;2017;Distribution poles;Concrete poles / steel structure;No.;23132;1402,6;35,10963;0,00507122;0,00163161;0,0126119;0;0;3,953477;60
Aurora Energy;2017;Distribution poles;Other pole types;No.;0;0;;0,11764706;0;0,1176;0;0;3,647059;60
Aurora Energy;2017;Distribution poles;Wood poles;No.;30820;15101,9;41,27255;0,03861497;0,22620073;0,22383916;0;0;3,14945;45
Aurora Energy;2017;Distribution substations;Ground Mounted Substation Housing;No.;2811;;19,11455;0,09992785;0,07215007;0;0;0;3,316017;
Aurora Energy;2017;Distribution switchgear;3.3/6.6/11/22kV CB (Indoor);No.;5;0,3;18,8;0;0;0;0;0;3,6;45
Aurora Energy;2017;Distribution switchgear;3.3/6.6/11/22kV CB (pole mounted) - reclosers and sectionalisers;No.;44;0;8,545455;0;0;0,08888889;0;0;3,622222;40
Aurora Energy;2017;Distribution switchgear;3.3/6.6/11/22kV RMU;No.;582;37;17,77663;0,44497608;0,09808612;0,12454212;0;0;2,125598;40
Aurora Energy;2017;Distribution switchgear;3.3/6.6/11/22kV Switch (ground mounted) - except RMU;No.;981;206,7;20,9684;0,36;0,07;0,06738544;0;0;2,255;35
Aurora Energy;2017;Distribution switchgear;3.3/6.6/11/22kV Switches and fuses (pole mounted);No.;6473;1788,4;24,1826;0,13818182;0,10545455;0,16847172;0;0;2,696364;35
Aurora Energy;2017;Distribution transformers;Ground Mounted Transformer;No.;2811;283,2;19,11455;0,00036062;0,05373242;0,01947349;0;0;3,48251;45
Aurora Energy;2017;Distribution transformers;Pole Mounted Transformer;No.;4134;1473,7;34,1836;0,02560386;0,33599034;0,04371981;0;0;2,72343;45
Aurora Energy;2017;Distribution transformers;Voltage regulators;No.;41;6,9;19,68293;0;0,14634146;0;0;0;3,268293;45
Aurora Energy;2017;LV cables;LV UG Cable;km;926;0;18,82073;0;0;0;0;0;3,845131;70
Aurora Energy;2017;LV lines;LV OH Conductor;km;1047;185,2;44,44699;0,7255;0,1942;0;0;0;1,3613;60
Aurora Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (Gas Pressurised);km;0;0;;0;0;0;0;0;;70
Aurora Energy;2017;Subtransmission cables;Subtransmission UG 110kV+ (Oil pressurised);km;0;0;;0;0;0;0;0;;70
