Year;Charge;Alpine Energy;Aurora Energy;Buller Electricity;Centralines;Counties Power;Eastland Network;Electra;Electricity Ashburton;Electricity Invercargill;Horizon Energy;MainPower NZ;Marlborough Lines;Nelson Electricity;Network Tasman;Network Waitaki;Northpower;Orion NZ;OtagoNet;Powerco;Scanpower;The Lines Company;The Power Company;Top Energy;Unison Networks;Vector Lines;WEL Networks;Waipa Networks;Wellington Electricity;Westpower;Industry;PQ business;ID only;xllookup
2013;Delivery;18219,11719;44157,4375;5674,281738;;27972,5918;24923;31474,25586;15685,55664;12005,32617;14204,95605;42162;14060,76465;5077,619141;26669,47266;10140,09277;42650;85475,67969;15169,67285;173249,1406;;;28469;32960,08984;;468768;76532,42969;18231;118525,9766;12129;1364586,375;1055091;309495,4063;2013Delivery
2013;Fixed;11348,13379;4966,480469;1185,282715;3704,092773;9157,214844;6813,600098;2448,394043;2173,444824;6229,42334;11398,42773;3391;9853,483398;427,2606201;4409,816406;3324,907471;5540;5492,862305;14595,99121;75858,53125;;7208,402344;23038;3005,798584;38911,46484;69070;464,3315735;2738;21025,14844;1094;348873,5;286638,9063;62234,61328;2013Fixed
2013;Other;0;0;5,591130733;;;;;;;;;;0,995000005;;;;5,579999924;;;;219,240387;;;;;6,311039925;;2828,844971;;3066,5625;3054,6604;11,90217018;2013Other
2013;Peak;9305,62207;35104,93359;262,762085;6929,731445;2793,223877;;;16774,44727;;4522,648926;;6252,27002;4010,766357;6300,674316;;10200;113666,8984;927,3071899;82208,78125;;27530,69336;;;80389,70313;69807;13619,31445;657;17675,62109;6225;515164,375;475154,8125;40009,57031;2013Peak
2014;Delivery;20409,77539;42051,83203;5978,914419;6570,4375;30884,16406;24870,40039;32960,88672;17218,43945;11793,74316;13180,72852;43159;14958,59473;5062,149902;27904,4668;10081,55469;43699;91281,00781;16003,84473;176121,4375;6632,765137;;29162,60938;33473,48438;72754,78906;385822;77689,79688;18727;120182,1094;12713;1366642,125;1064700,625;301941,375;2014Delivery
2014;Fixed;11472,76953;5849,29248;1306,73086;3972,682129;9324,947266;6880,700195;2496,972656;2227,533447;6155,07666;14351,5166;3548;10718,99512;440,5386353;4509,15332;3788,445313;6114;3759,207275;15762,75977;81626,32813;966,3938599;7385,974121;24877,61719;3117,961914;44476;131286;1558,495483;2635;21607,22266;1106;429380,5938;364880,7188;64499,86719;2014Fixed
2014;Other;0;0;14,0841016;;;;;;;;;;;120,9069824;;;5,5;;;;250,1021271;;;;;;34;3283,530762;;33298,60156;3660,039795;29638,5625;2014Other
2014;Peak;10479,80176;35205,51563;284,833066;594,65448;3104,701904;;;17371,66406;;2444,953613;;6714,059082;4309,413086;7528,639648;;10140;119520,7344;942,4492188;88454,83594;471,2044678;29453,85742;;;10044;75263;13353,89453;658;18508,05859;5759;459664,4688;420121,5625;39542,85938;2014Peak
2015;Delivery;24849,33594;46071,94531;5494,967773;7057,742188;35295,20313;26037;35174,94531;20258,72461;13168,02637;13845,74023;49338;16563,78711;5190;29021;14211,56543;45787;106400,625;17168,71484;187351,0781;6907,753906;;30942,22461;35461;81074,63281;393684;65045,11328;19326;119134,0703;13032;1462892,25;1125773,625;337118,5625;2015Delivery
2015;Fixed;12499,37695;5406,003906;1358,160034;3923,917969;7677,209473;7310,200195;2556,284912;2303,992188;6810,97168;15458,82813;3571;10995,95703;634;4573;2741,529541;6361;4071,070313;17002,59766;86995;1421,364258;7680,035156;25768,90234;3150;49334,23047;142588;14425,94727;3662;39736,90234;1130;491147,4688;409478,1563;81669,35156;2015Fixed
2015;Other;0;0;11,69299984;;;;;;;;;;;671;;;5,940000057;;;;267,1848755;;;;;;34;2896,767822;;3886,585693;3840,892578;45,69300079;2015Other
2015;Peak;13785,46191;37855,55078;739,8640137;1199,977905;3387,059814;;;17951,45703;;2512,412109;;6967,055176;4642;8074;;11192;131590,9688;933,998291;92851,02344;74,81900787;30510,42188;;;11311,18848;89409;13933,56055;;20171,50977;6199;505292,3125;462798,9375;42493,35938;2015Peak
2016;Delivery;25071,55469;48891,45703;5556,383789;7560,134277;37493,07422;25535;37282,45703;20427,32813;13411,39648;12727,1084;52933;17133,04688;5035,361816;28404;14632,84766;46153,39844;108713,0469;17369,69141;191032,6406;7502,536621;;32553,66992;38405,75391;84231,55469;380395;64830,75781;20109;103180,9688;14006;1460578,25;1110392;350186,1563;2016Delivery
2016;Fixed;13080,82129;6138,068848;1306,244019;3904,361572;7643,62207;7387,100098;2591,45874;2343,556152;6648,546387;15239,25684;3684;10754,84961;776,6036987;6124;4003,193604;8485,400391;4124,413086;7647,33252;87005;1535,535034;8059,802246;26360,66016;3359,731934;51121,01953;145110;16700,70117;2672;40713,46094;557;495077,7188;408783,0938;86294,67188;2016Fixed
2016;Other;0;0;6;;;;;;;;;;;169;;;9,779999733;;;;176,9627533;;;;;;1175;2704,829102;;4241,571777;3060,571777;1181;2016Other
2016;Peak;13952,66699;36523,83203;638,5869751;1423,268921;3388,30542;;;18093,93359;;2708,312012;;6988,361816;4327,424316;8432;;10976;134484,6875;9736,37793;95906,42188;81,29161072;31338,69531;;;10787,87012;92420;14383,08789;;17387,38281;6249;520227,5;477522,875;42704,63281;2016Peak
2017;Delivery;26311,24023;49124,00781;4985;7963;38568,875;26830,33984;38956,30469;19695,49805;13268,47852;12287,76172;49729;17018,00391;5132,125977;29146;12882,18164;46281,20313;110541,3672;17265,95117;197685,5625;7668,397949;;32551,69531;43923,10547;84608;379391;66006,40625;22350;104797,6328;14099;1479067,125;1127971,125;351096,0625;2017Delivery
2017;Fixed;14736,78516;6342,26709;1555;3920;8012,603027;7769,100098;2635,199219;2375,979248;6812,595215;16422,2832;3697;10890,72656;767,0216675;6235;964,3677979;7678,204102;2625,969482;8611,867188;79702,25;1553,63501;8069,675293;26420,41016;6396,349121;53334;143168;21469,19727;2727;47158,21875;540;502590,6875;414447,3438;88143,34375;2017Fixed
2017;Other;0;0;6;;;;;;;;;;;186;481,4719849;1854,127075;9,825480461;;;;168,009079;;;;;;1346;2501,873779;;6553,307617;2865,708252;3687,599121;2017Other
2017;Peak;13352,36523;37459,40234;763;1518;3398,00293;;;18637,95508;;2774,251953;;6909,180664;4524,856934;8702;2040,126343;11195,09473;134678,5625;9711,691406;99679,01563;69,50959778;32856,5625;;;10489;93391;15380,00098;;17395,6582;5797;530722,25;485170,3125;45551,91406;2017Peak
